,time,mid_diff,mid_ratio,ratio_ma,ratio_diff,pina_pred,pina_error
0,0,6999.5,1.874882819823761,1.874882819823761,0.0,15003.707016607992,-3.7070166079920455
1,100,7000.5,1.8751171948246765,1.8750055876813834,0.00011160714329316868,15002.155697299517,-2.15569729951676
2,200,7001.0,1.875289116709383,1.875109234244489,0.00017988246489397675,15000.604377991043,-1.1043779910432932
3,300,7000.5,1.8751171948246765,1.8751115172723343,5.677552342264747e-06,15002.155697299517,-2.15569729951676
4,400,7000.5,1.8752266049884354,1.875139117135587,8.748785284851124e-05,15000.604377991043,-1.6043779910432932
5,500,7000.5,1.8753360425132855,1.8751802221538596,0.00015582035942585115,14999.053058682568,-1.0530586825680075
6,600,7002.0,1.8755236011253518,1.8752443420895195,0.00027925903583225775,14999.053058682568,0.4469413174319925
7,700,7004.0,1.875664187035069,1.875315885201658,0.00034830183341094667,15000.604377991043,1.8956220089567068
8,800,7005.0,1.8758987183494842,1.8754078883489116,0.0004908300005725952,14999.053058682568,3.4469413174319925
9,900,7004.0,1.8757736792747735,1.875462007247706,0.00031167202706749997,14999.053058682568,2.4469413174319925
10,1000,7007.0,1.8759297456091006,1.8755274749456747,0.00040227066342590767,15002.155697299517,4.34430270048324
11,1100,7007.5,1.8761017690817028,1.8756040979558986,0.0004976711258042332,15000.604377991043,5.395622008956707
12,1200,7008.5,1.8762267925235983,1.87568379070317,0.0005430018204282128,15000.604377991043,6.395622008956707
13,1300,7010.0,1.8763047690480654,1.8757604229441043,0.0005443461039611464,15002.155697299517,7.34430270048324
14,1400,7008.5,1.8761172573285831,1.8758030723661503,0.00031418496243285077,15002.155697299517,5.84430270048324
15,1500,7009.5,1.8760232456414423,1.8758286558243478,0.00019458981709452594,15005.258335916466,5.741664083534488
16,1600,7011.5,1.8762731987752297,1.875879036335413,0.0003941624398167143,15005.258335916466,7.741664083534488
17,1700,7011.0,1.876210710491783,1.8759158009750414,0.0002949095167414928,15005.258335916466,7.241664083534488
18,1800,7012.0,1.8763356870586765,1.8759614337625994,0.00037425329607709834,15005.258335916466,8.241664083534488
19,1900,7010.0,1.876085733924889,1.8759747067175283,0.00011102720736078098,15005.258335916466,6.241664083534488
20,2000,7013.0,1.8764606636255703,1.8760257871456787,0.0004348764798915994,15005.258335916466,9.241664083534488
21,2100,7013.0,1.8763511402686661,1.8760595070577402,0.00029163321092595673,15006.80965522494,8.690344775059202
22,2200,7010.5,1.8761482222083359,1.8760685859898427,7.963621849316205e-05,15005.258335916466,6.741664083534488
23,2300,7010.5,1.8761482222083359,1.8760766437110317,7.15784973042144e-05,15005.258335916466,6.741664083534488
24,2400,7010.0,1.8761952377976376,1.876088521240027,0.00010671655761074206,15003.707016607992,6.7929833920079545
25,2500,7011.0,1.8763202299856259,1.8761115149708427,0.00020871501478314514,15003.707016607992,7.7929833920079545
26,2600,7009.5,1.8761327417036435,1.8761136040217938,1.9137681849690225e-05,15003.707016607992,6.2929833920079545
27,2700,7013.0,1.8765702143616023,1.8761582069705498,0.0004120073910525157,15003.707016607992,9.792983392007955
28,2800,7010.0,1.8764143276864411,1.8761830572168239,0.00023127046961723963,15000.604377991043,7.895622008956707
29,2900,7009.0,1.8761797612350772,1.876182739366582,-2.978131504738357e-06,15002.155697299517,6.34430270048324
30,3000,7007.5,1.8762113160362612,1.8761854800306368,2.5836005624446656e-05,14999.053058682568,5.9469413174319925
31,3100,7008.5,1.8762267925235983,1.8761894224336442,3.7370089954080754e-05,15000.604377991043,6.395622008956707
32,3200,7009.5,1.876461394185683,1.8762152596032993,0.00024613458238365027,14999.053058682568,7.9469413174319925
33,3300,7008.0,1.8762738355736168,1.8762208016199695,5.3033953647307897e-05,14999.053058682568,6.4469413174319925
34,3400,7007.5,1.8763208903895454,1.8762302363245178,9.065406502761775e-05,14997.501739374095,6.498260625905459
35,3500,7007.5,1.8762113160362612,1.8762284587967388,-1.714276047759533e-05,14999.053058682568,5.9469413174319925
36,3600,7007.0,1.8761487964989059,1.876220997340553,-7.220084164716312e-05,14999.053058682568,5.4469413174319925
37,3700,7007.0,1.8760392573607552,1.8762040216823093,-0.0001647643215541006,15000.604377991043,4.895622008956707
38,3800,7008.0,1.8761642808026504,1.8762003188806167,-3.603807796626057e-05,15000.604377991043,5.895622008956707
39,3900,7009.5,1.8763518159654935,1.8762144025198755,0.0001374134456180176,15000.604377991043,7.395622008956707
40,4000,7011.0,1.8765393511283366,1.876244548830246,0.0002948022980906462,15000.604377991043,8.895622008956707
41,4100,7012.0,1.8766643745702318,1.8762834246903572,0.0003809498798745814,15000.604377991043,9.895622008956707
42,4200,7012.0,1.8767739918724602,1.876328774525354,0.0004452173471061194,14999.053058682568,10.446941317431993
